,timestamp,open,high,low,close,volume,likes,retweets,emotion,emoji
2018-01-05 02:00:00,1515117600,15096.99,15242.91,15063.11,15105.07,589.12416407,7.888372093023256,2.6697674418604653,1.1023255813953488,3.4790697674418603
2018-01-05 03:00:00,1515121200,15100.03,15136.5,14914.16,14951.06,331.5257573,2.922279792746114,0.9430051813471503,1.238341968911917,3.471502590673575
2018-01-05 04:00:00,1515124800,14951.06,15053.09,14810.0,14950.0,426.50304496,1.8342857142857143,0.37714285714285717,1.24,3.217142857142857
2018-01-05 05:00:00,1515128400,14958.04,15090.23,14857.2,15020.0,259.24348536,1.935672514619883,0.6783625730994152,1.239766081871345,3.1695906432748537
2018-01-05 06:00:00,1515132000,15059.06,15066.68,14914.77,14985.09,257.99314168,2.445859872611465,0.8598726114649682,1.1019108280254777,3.1847133757961785
2018-01-05 07:00:00,1515135600,14976.4,14976.4,14826.57,14919.44,283.8180669,0.9246575342465754,0.5,1.2671232876712328,3.5136986301369864
2018-01-05 08:00:00,1515139200,14939.0,15500.0,14921.76,15490.9,1036.28469062,1.7555555555555555,0.48518518518518516,1.3925925925925926,3.588888888888889
2018-01-05 09:00:00,1515142800,15490.04,15994.05,15490.04,15846.7,1814.00819908,0.7543103448275862,0.25,1.2241379310344827,3.3275862068965516
2018-01-05 10:00:00,1515146400,15818.3,16189.0,15751.73,16028.0,965.23922819,1.3796296296296295,0.3148148148148148,1.2175925925925926,3.3796296296296298
2018-01-05 11:00:00,1515150000,16028.0,16113.73,15756.22,16034.93,959.40037794,1.9535864978902953,1.1054852320675106,1.3375527426160339,3.4345991561181433
2018-01-05 12:00:00,1515153600,16034.93,16035.0,15735.99,15879.87,368.75468748,1.486842105263158,0.5657894736842105,1.2850877192982457,3.473684210526316
2018-01-05 13:00:00,1515157200,15854.0,16026.0,15791.95,15995.0,427.89206727,1.471311475409836,0.3729508196721312,1.2991803278688525,3.360655737704918
2018-01-05 14:00:00,1515160800,15994.93,16100.0,15850.0,15983.02,408.49082621,2.8102766798418974,1.5454545454545454,1.3241106719367588,3.4466403162055337
2018-01-05 15:00:00,1515164400,15985.0,16038.8,15896.47,15969.11,540.22919598,3.020979020979021,1.4405594405594406,1.083916083916084,3.513986013986014
2018-01-05 16:00:00,1515168000,15981.21,16299.0,15981.21,16249.97,1155.53204998,2.3015873015873014,0.6285714285714286,1.1428571428571428,3.2698412698412698
2018-01-05 17:00:00,1515171600,16250.0,16488.2,16164.25,16361.99,1126.94652054,1.4727272727272727,0.4727272727272727,1.1939393939393939,3.090909090909091
2018-01-05 18:00:00,1515175200,16363.71,16532.99,16299.17,16367.42,616.61245227,1.2924528301886793,0.4811320754716981,1.2610062893081762,3.0849056603773586
2018-01-05 19:00:00,1515178800,16367.42,16486.58,16194.98,16442.0,503.38718134,1.5326086956521738,0.5398550724637681,1.1376811594202898,3.199275362318841
2018-01-05 20:00:00,1515182400,16442.27,16563.03,16301.0,16555.04,522.33161718,8.647286821705427,6.403100775193798,1.0775193798449612,3.3488372093023258
2018-01-05 21:00:00,1515186000,16563.03,16908.0,16497.04,16702.0,1194.56248248,1.2038461538461538,0.3,1.3153846153846154,3.3230769230769233
2018-01-05 22:00:00,1515189600,16702.0,17200.0,16681.72,16920.0,1014.2674347,1.9745762711864407,1.0720338983050848,1.3347457627118644,3.360169491525424
2018-01-05 23:00:00,1515193200,16919.96,17100.0,16798.27,16928.0,770.43268516,2.21285140562249,1.6465863453815262,1.321285140562249,3.3012048192771086
2018-01-06 00:00:00,1515196800,16927.99,16950.19,16600.0,16939.44,649.4100995,2.772277227722772,0.698019801980198,1.2326732673267327,3.3514851485148514
2018-01-06 01:00:00,1515200400,16921.02,17044.41,16843.31,17044.41,698.89383771,3.7880434782608696,1.565217391304348,1.2391304347826086,3.25
2018-01-06 02:00:00,1515204000,17047.0,17087.0,16565.0,16565.0,512.90595055,1.4974358974358974,1.1384615384615384,1.3948717948717948,3.117948717948718
2018-01-06 03:00:00,1515207600,16565.0,16750.0,16502.68,16547.81,353.45276724,2.2797619047619047,1.0297619047619047,1.3333333333333333,3.0714285714285716
2018-01-06 04:00:00,1515211200,16566.68,16686.75,16398.43,16590.26,296.56564114,1.3209876543209877,0.2839506172839506,1.2098765432098766,3.4135802469135803
2018-01-06 05:00:00,1515214800,16590.26,16699.9,16450.0,16612.71,418.30066046,1.0571428571428572,0.40714285714285714,1.2428571428571429,3.307142857142857
2018-01-06 06:00:00,1515218400,16632.99,16668.62,16503.86,16529.6,541.63840032,0.7361111111111112,0.14583333333333334,1.3680555555555556,3.125
2018-01-06 07:00:00,1515222000,16529.0,16544.62,16316.74,16514.42,527.33605915,0.5035460992907801,0.0851063829787234,1.3687943262411348,3.269503546099291
2018-01-06 08:00:00,1515225600,16500.0,16602.15,16388.21,16419.9,304.12031794,0.8008298755186722,0.31950207468879666,1.2323651452282158,3.767634854771784
2018-01-06 09:00:00,1515229200,16390.02,16531.31,16320.0,16353.99,381.59226633,0.6319444444444444,0.2708333333333333,1.1041666666666667,3.3402777777777777
2018-01-06 10:00:00,1515232800,16353.99,16692.0,16347.75,16688.0,337.11675253,6.5,20.80921052631579,1.105263157894737,3.5921052631578947
2018-01-06 11:00:00,1515236400,16688.05,16720.0,16473.0,16546.27,374.44114494,1.8571428571428572,0.7797619047619048,1.1964285714285714,3.357142857142857
2018-01-06 12:00:00,1515240000,16495.6,16566.3,16235.46,16281.12,307.49255827,0.9693251533742331,0.50920245398773,1.1533742331288344,3.2208588957055215
